path,format,bytes,sha256,origin
02_Logos/PDF/condo-ninja-lockup-monochrome-blue.pdf,pdf,16101,806d56c96b57c6123910df179e11fd635113898c693b56ae1eab937404f261fa,preserved
02_Logos/PDF/condo-ninja-lockup-monochrome-white.pdf,pdf,16077,7b95a5f89097a10d39fe4857314fbaff06d5d176994b4051f29fb6a1e0559eaf,preserved
02_Logos/PDF/condo-ninja-lockup-vertical-on-dark.pdf,pdf,13489,e697726140116db2bb7e19dbb5dceebaa81aef3dd50f8637ff19e372cc949ae9,preserved
02_Logos/PDF/condo-ninja-lockup-vertical-on-light.pdf,pdf,13502,409360f3dc046d472dee0d446fae5f4798be2b5c6451ac231feeb587e1d0591e,preserved
02_Logos/PDF/condo-ninja-symbol-black.pdf,pdf,11037,38b7617477650176d8ff8d9ead10c25d2778fb223ee8684d1cf027db16aaf3c1,preserved
02_Logos/PDF/condo-ninja-symbol-blue.pdf,pdf,11058,7c2ebbe120193be5e4a1a49f444a84e314b272bfd120eaae12197db05b1181c6,preserved
02_Logos/PDF/condo-ninja-symbol-fullcolor.pdf,pdf,10090,087758ea43edcf2432f1752281ae9fde2dba11a3ea8c245e6f7925ccd060238d,preserved
02_Logos/PDF/condo-ninja-symbol-simplified.pdf,pdf,1200,b525231ffe0a20935fb855dc3e681d674e4ba168f303b48a61a79bba4f17dc73,preserved
02_Logos/PDF/condo-ninja-symbol-white.pdf,pdf,11042,a67861aec35da8849563538d06046c481a91d0b673ee0a179938fdcbdd3b8847,preserved
02_Logos/PDF/condo-ninja-wordmark-ink.pdf,pdf,3716,339fb0c26602c3a8f09c89ed023b3ebc44a5492b83cb06f6d4180174374304b1,preserved
02_Logos/PDF/condo-ninja-wordmark-white.pdf,pdf,3705,3513d87a67d8b99d2fce4a0c59ca489c93d84c457341bcae970f0c55c0d82ae9,preserved
02_Logos/PNG/condo-ninja-lockup-horizontal-dark-1024.png,png,20295,deb268fc5af9f736d8e8c22e8398bdb0fa127a1c1eb5ed55521ec86c7c0ba1f2,preserved
02_Logos/PNG/condo-ninja-lockup-horizontal-dark-2048.png,png,43951,f5ae262c88c26203e6b3684ce7c30d5dac2a5028601a188408413910a80892dd,preserved
02_Logos/PNG/condo-ninja-lockup-horizontal-dark-256.png,png,4603,32f866071e282c392fe5965934cef8fc438aaa91a4a8ca3edcdf44f682a261ad,preserved
02_Logos/PNG/condo-ninja-lockup-horizontal-dark-512.png,png,9576,c2cdafb53070cbba4cebb1eb08c8bdd9e3efb58cf4ee4064656154ceeaf80ee2,preserved
02_Logos/PNG/condo-ninja-lockup-horizontal-light-1024.png,png,23433,c79eba1c67920f0c7160a058584042e0d36c87e4d94cf3fdcf08a145a0fd420e,preserved
02_Logos/PNG/condo-ninja-lockup-horizontal-light-2048.png,png,50117,9fccb9636ec5c9d0a61c9f0f4dfdadce41327d04320be405f52bdc69ca073bcb,preserved
02_Logos/PNG/condo-ninja-lockup-horizontal-light-256.png,png,5484,781923e13bd18f9a79ecd715eb65b40c3063e0fed5bb9b51686c011b1445d42b,preserved
02_Logos/PNG/condo-ninja-lockup-horizontal-light-512.png,png,11188,55e119082bdcfa9f6b8d1da97dbafb8079880d435147a55a61f77142988f677b,preserved
02_Logos/PNG/condo-ninja-lockup-vertical-dark-1024.png,png,39239,5f72eee29fca5f7061e02f54d116c6f80d63ef8fdd4505f6ed0a82b9b3b3df2c,preserved
02_Logos/PNG/condo-ninja-lockup-vertical-dark-256.png,png,8774,07e9a0e49c7c31a62fdaa6ef4e92b52c3f27c9f245d1313d90574d55d42fa9bd,preserved
02_Logos/PNG/condo-ninja-lockup-vertical-dark-512.png,png,18284,11bac1f0b17c060b311080de889eb6ce3bb837179f678d8e83e0947c069657ad,preserved
02_Logos/PNG/condo-ninja-lockup-vertical-light-1024.png,png,42850,3a2d1a5e55543f72c9a3fda6a6ea6cc7acb2df0a489986b393918ec1986a050b,preserved
02_Logos/PNG/condo-ninja-lockup-vertical-light-256.png,png,9653,90039f811fbaa6aece690459bc4e57d9aab49a0ef30a75ffb4278c4c708fe0e6,preserved
02_Logos/PNG/condo-ninja-lockup-vertical-light-512.png,png,19665,0da95b33218ea781f10a0f9a05b3358c8ba36500ef183e245f27587ef8db1ad1,preserved
02_Logos/PNG/condo-ninja-symbol-1024.png,png,79182,dc2a683568009f249a768999127432d67df447f5dca85d6b022b61a3e39f2e17,preserved
02_Logos/PNG/condo-ninja-symbol-128.png,png,8335,73315b6c696500c4281acb95f9e5c18d24736eab517fc59b3c6909b31c44679e,preserved
02_Logos/PNG/condo-ninja-symbol-2048.png,png,177053,316de6ee8b86f105db4658cbf1889b678dd9504937ddbfe677f855c198b8fb89,preserved
02_Logos/PNG/condo-ninja-symbol-256.png,png,16686,0f1528f27efc9aa3e3cdc28428c7996550d73de9f771648cd475397f36260808,preserved
02_Logos/PNG/condo-ninja-symbol-32.png,png,1935,4176e459a5b7e8170c737d18b9b973acd02902b5416d3d5375a64e7f7d3eaef4,preserved
02_Logos/PNG/condo-ninja-symbol-512.png,png,34616,a03b47e9ed6a048e57785a061035754d80cc39dfa9258e995c120f24fbb7bed2,preserved
02_Logos/PNG/condo-ninja-symbol-64.png,png,4098,487736b59d7e87bbfa8fe275bb1a3edd8332c59fb65126ef466a3949f0524e34,preserved
02_Logos/PNG/condo-ninja-symbol-simplified-128.png,png,3027,98e3793ce3fdcc361bbfca5692c7157c09e104f18d47766cf699d0ad21a81d7e,preserved
02_Logos/PNG/condo-ninja-symbol-simplified-16.png,png,526,61a3f2859d9d023410a4d3a9afbbedb98e5bb2967631a87924543f85b8c19f06,preserved
02_Logos/PNG/condo-ninja-symbol-simplified-24.png,png,768,958abdce2f70ea6e9305709b77c77db56d2ac9c23b810f6fc9b509f9f2dc886f,preserved
02_Logos/PNG/condo-ninja-symbol-simplified-256.png,png,5517,ff0d126cbd08a0b47f5a2cd9615b52f9a95f08dfcdfcfa08918469fc617a0842,preserved
02_Logos/PNG/condo-ninja-symbol-simplified-32.png,png,895,5b58eb6f3784aa7331b392cf5a6dd712fc37d977e53d0c6471482e938ff4ebff,preserved
02_Logos/PNG/condo-ninja-symbol-simplified-48.png,png,1412,de3cc889efa2baee79fc833e264d83ed752ce7c21c1a7a02653d0aeff763f139,preserved
02_Logos/PNG/condo-ninja-symbol-simplified-64.png,png,1647,f2149eed4b6fa44be51e53f5bf7cdf4712ab6ba7b09808765fb1d6285f09b000,preserved
02_Logos/SVG/Alternate-Outlined-Exports/condo-ninja-symbol-fullcolor-outlined.svg,svg,4728,311302a1df47d5b2113fb6f2255e96cbed2def249e792771822a585b77d59872,new
02_Logos/SVG/Alternate-Outlined-Exports/condo-ninja-symbol-simplified-outlined.svg,svg,608,cf9fec0a64f3a5d8e49a06841b9d1612b5729527480b1b9f5747d9860d998f27,new
02_Logos/SVG/Outlined/condo-ninja-lockup-horizontal-on-dark.svg,svg,9974,c76334dca5b563ddcf53a8315c5aef6a17530a0b4217cb7bfd908ad07f292ee4,preserved
02_Logos/SVG/Outlined/condo-ninja-lockup-horizontal-on-light.svg,svg,9974,e1e95cf23ff68eb4fe948552d41537139a0ee72c5876a884b3d837d1b6257dcb,preserved
02_Logos/SVG/Outlined/condo-ninja-lockup-monochrome-black.svg,svg,6307,4bd6764266bd0c0a172f5948187674d7e28986cddeee28b4ab4456c5c0dcd99f,preserved
02_Logos/SVG/Outlined/condo-ninja-lockup-monochrome-blue.svg,svg,6348,78ddb784981ef0ad35497fd3cfb7f7881de602a71da0d5090d09326df946a017,preserved
02_Logos/SVG/Outlined/condo-ninja-lockup-monochrome-white.svg,svg,6348,53197fe9e05219b7430ac665b471a7bee8babe242f5c7a8b8d90f471084f2f4e,preserved
02_Logos/SVG/Outlined/condo-ninja-lockup-vertical-on-dark.svg,svg,9889,62e1dd6ccea5c34ba2c5a9f65844af523b61ceedbe8c26ede4819865ff21bde6,preserved
02_Logos/SVG/Outlined/condo-ninja-lockup-vertical-on-light.svg,svg,9889,baedac2ee25d98166b309efb30aa1e5842c98afee6bff27ece045916f3761b85,preserved
02_Logos/SVG/Outlined/condo-ninja-symbol-fullcolor.svg,svg,2881,8c7fcd6449b92ef64c4ea333ff2c88c39cb5d8e67ffd26baa463248dedc9f2fe,preserved
02_Logos/SVG/Outlined/condo-ninja-symbol-simplified.svg,svg,438,5296af528d71d7bf7c961811ff191a122eab862206eef5c17c673b2e596bd577,preserved
02_Logos/SVG/Outlined/condo-ninja-wordmark-ink.svg,svg,4300,0ced91bb83836635b9456b554d6dadfda97e439de7300a84f44e84304276a85e,preserved
02_Logos/SVG/Outlined/condo-ninja-wordmark-white.svg,svg,4300,05328e49739a7d29d8933809cdd1d2e062134482c166320170e76cec113c82a6,preserved
02_Logos/SVG/condo-ninja-lockup-horizontal-on-dark.svg,svg,3046,6224e3efffac4ef1067e3a4f1a4861a199536f4dff4ccee73ab1b7a15775d609,preserved
02_Logos/SVG/condo-ninja-lockup-horizontal-on-light.svg,svg,3046,79ad4405d5ccfd95250fe0bea7d517e8ec20ed1315947da7098d48d1449d5936,preserved
02_Logos/SVG/condo-ninja-lockup-monochrome-black.svg,svg,962,60f113dc3a9643faf6c8e4c35f25f65da7320394db465214c7ca39563ccdfe9d,preserved
02_Logos/SVG/condo-ninja-lockup-monochrome-blue.svg,svg,962,1881f6af497b0495ceee8afc37e1f41e89ff3e778b920b05b7e73e07661c27e4,preserved
02_Logos/SVG/condo-ninja-lockup-monochrome-white.svg,svg,962,94e01bceb1d62e15f8ec8a97f25e54f0775f8162ad9c2f005070111c85d96951,preserved
02_Logos/SVG/condo-ninja-lockup-vertical-on-dark.svg,svg,3043,2949a98e642711365bf7f3146076bc9dc1d479c9114380a2714f3b7727b084c7,preserved
